event_id,event_group,event_type,description,window_label,formal_car_sp500,n_obs,expected_return,estimation_n_obs,estimation_sufficient_data
E01,escalation,tariff_announcement,US announces Section 301 tariff action on Chinese imports,m1_p1,-0.0505901249707741,3,0.0008721219899003,25,True
E01,escalation,tariff_announcement,US announces Section 301 tariff action on Chinese imports,m3_p3,-0.05692005591943889,7,0.0008721219899003,25,True
E01,escalation,tariff_announcement,US announces Section 301 tariff action on Chinese imports,m5_p5,-0.0486339657194289,11,0.0008721219899003,25,True
E02,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,m1_p1,-0.007588031772631498,3,-0.0013776014844454,25,True
E02,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,m3_p3,0.0333053120541085,7,-0.0013776014844454,25,True
E02,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,m5_p5,0.035612137697483406,11,-0.0013776014844454,25,True
E03,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,m1_p1,-0.0067172505837401995,3,0.0020151899613894,25,True
E03,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,m3_p3,-0.019372001090486,7,0.0020151899613894,25,True
E03,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,m5_p5,-0.0277217248873247,11,0.0020151899613894,25,True
E04,escalation,tariff_implementation,First tranche of bilateral tariffs enters into force,m1_p1,0.0269660035709211,3,-0.0003469774680201,25,True
E04,escalation,tariff_implementation,First tranche of bilateral tariffs enters into force,m3_p3,0.022853584542961606,7,-0.0003469774680201,25,True
E04,escalation,tariff_implementation,First tranche of bilateral tariffs enters into force,m5_p5,0.04100686777389051,11,-0.0003469774680201,25,True
E05,escalation,tariff_announcement,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,m1_p1,0.004832590436257502,3,9.850551767453198e-05,25,True
E05,escalation,tariff_announcement,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,m3_p3,0.021793937616392905,7,9.850551767453198e-05,25,True
E05,escalation,tariff_announcement,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,m5_p5,0.031207579861483203,11,9.850551767453198e-05,25,True
E06,escalation,tariff_implementation,Second tranche of bilateral tariffs enters into force,m1_p1,0.0021719807175011006,3,0.0006458150303083,25,True
E06,escalation,tariff_implementation,Second tranche of bilateral tariffs enters into force,m3_p3,0.0120249625554622,7,0.0006458150303083,25,True
