event_id,event_group,event_type,description,event_regime,is_core_sample,is_pandemic_period,is_post_pandemic,include_in_primary_analysis,window_label,formal_car_sp500,n_obs,expected_return,estimation_n_obs,estimation_sufficient_data,volatility_sp500,car_sign,neutral_threshold
E01,escalation,tariff_announcement,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,m1_p1,-0.050590124970774294,3,0.0008721219899003075,25,True,0.012430221656043575,negative,0.005
E01,escalation,tariff_announcement,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,m3_p3,-0.056920055919439036,7,0.0008721219899003075,25,True,0.01801499423158405,negative,0.005
E01,escalation,tariff_announcement,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,m5_p5,-0.04863396571942902,11,0.0008721219899003075,25,True,0.015424616336942787,negative,0.005
E02,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,m1_p1,-0.0075880317726315025,3,-0.001377601484445492,25,True,0.015699300866778135,negative,0.005
E02,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,m3_p3,0.03330531205410854,7,-0.001377601484445492,25,True,0.013304026669316966,positive,0.005
E02,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,m5_p5,0.03561213769748358,11,-0.001377601484445492,25,True,0.013670738053691863,positive,0.005
E03,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,m1_p1,-0.006717250583740269,3,0.0020151899613894166,25,True,0.002399280154148326,negative,0.005
E03,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,m3_p3,-0.01937200109048631,7,0.0020151899613894166,25,True,0.002771003708184592,negative,0.005
E03,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,m5_p5,-0.02772172488732517,11,0.0020151899613894166,25,True,0.003191749095633632,negative,0.005
E04,escalation,tariff_implementation,First tranche of bilateral tariffs enters into force,core,True,False,False,True,m1_p1,0.026966003570921195,3,-0.00034697746802012206,25,True,0.00017180700420967352,positive,0.005
E04,escalation,tariff_implementation,First tranche of bilateral tariffs enters into force,core,True,False,False,True,m3_p3,0.022853584542961637,7,-0.00034697746802012206,25,True,0.0065926687269339795,positive,0.005
E04,escalation,tariff_implementation,First tranche of bilateral tariffs enters into force,core,True,False,False,True,m5_p5,0.04100686777389077,11,-0.00034697746802012206,25,True,0.00557763846179872,positive,0.005
E05,escalation,tariff_announcement,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,core,True,False,False,True,m1_p1,0.004832590436257637,3,9.850551767453198e-05,25,True,0.008067565303193322,neutral,0.005
E05,escalation,tariff_announcement,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,core,True,False,False,True,m3_p3,0.02179393761639321,7,9.850551767453198e-05,25,True,0.006037671152158132,positive,0.005
E05,escalation,tariff_announcement,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,core,True,False,False,True,m5_p5,0.03120757986148369,11,9.850551767453198e-05,25,True,0.005616014490446365,positive,0.005
E06,escalation,tariff_implementation,Second tranche of bilateral tariffs enters into force,core,True,False,False,True,m1_p1,0.0021719807175010564,3,0.0006458150303083121,25,True,0.004231747822352092,neutral,0.005
E06,escalation,tariff_implementation,Second tranche of bilateral tariffs enters into force,core,True,False,False,True,m3_p3,0.01202496255546238,7,0.0006458150303083121,25,True,0.0034500692019479653,positive,0.005
E06,escalation,tariff_implementation,Second tranche of bilateral tariffs enters into force,core,True,False,False,True,m5_p5,0.02195533171673112,11,0.0006458150303083121,25,True,0.003995661199458624,positive,0.005
E07,escalation,tariff_implementation,US implements tariffs on 200 billion dollars of Chinese imports,core,True,False,False,True,m1_p1,-0.007360112337188545,3,0.0007235984836293374,25,True,0.001615985194179901,negative,0.005
