event_id,event_group,event_type,description,window_label,formal_car_sp500,n_obs,expected_return,estimation_n_obs,estimation_sufficient_data,volatility_sp500,volatility_nasdaq,volatility_shanghai,n_obs_sp500_return,car_sign,abs_formal_car_sp500
E01,escalation,tariff_announcement,US announces Section 301 tariff action on Chinese imports,m1_p1,-0.0505901249707741,3,0.0008721219899003,25,True,0.0124302216560435,0.0125383336133978,0.0172415648939632,3,negative,0.0505901249707741
E01,escalation,tariff_announcement,US announces Section 301 tariff action on Chinese imports,m3_p3,-0.0569200559194388,7,0.0008721219899003,25,True,0.018014994231584,0.0219010336244558,0.0142269191726612,7,negative,0.0569200559194388
E01,escalation,tariff_announcement,US announces Section 301 tariff action on Chinese imports,m5_p5,-0.0486339657194289,11,0.0008721219899003,25,True,0.0154246163369427,0.018708687713081,0.0126486598860812,11,negative,0.0486339657194289
E02,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,m1_p1,-0.0075880317726314,3,-0.0013776014844454,25,True,0.015699300866778,0.0160541105710369,,3,negative,0.0075880317726314
E02,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,m3_p3,0.0333053120541085,7,-0.0013776014844454,25,True,0.0133040266693169,0.0141918935889396,0.0092709661270755,7,positive,0.0333053120541085
E02,escalation,tariff_announcement,USTR publishes proposed tariff list targeting Chinese imports,m5_p5,0.0356121376974834,11,-0.0013776014844454,25,True,0.0136707380536918,0.015564236326651,0.0089993371673695,11,positive,0.0356121376974834
E03,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,m1_p1,-0.0067172505837401,3,0.0020151899613894,25,True,0.0023992801541483,0.0055120088192823,0.0038633889849881,3,negative,0.0067172505837401
E03,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,m3_p3,-0.019372001090486,7,0.0020151899613894,25,True,0.0027710037081845,0.004722210464632,0.0162720442083921,7,negative,0.019372001090486
E03,escalation,tariff_announcement,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,m5_p5,-0.0277217248873247,11,0.0020151899613894,25,True,0.0031917490956335,0.0050411009747262,0.0131630490197216,11,negative,0.0277217248873247
E04,escalation,tariff_implementation,First tranche of bilateral tariffs enters into force,m1_p1,0.0269660035709211,3,-0.0003469774680201,25,True,0.0001718070042096,0.0023100755916472,0.0170115563263586,3,positive,0.0269660035709211
E04,escalation,tariff_implementation,First tranche of bilateral tariffs enters into force,m3_p3,0.0228535845429616,7,-0.0003469774680201,25,True,0.0065926687269339,0.0085490520519525,0.0167066994768505,7,positive,0.0228535845429616
E04,escalation,tariff_implementation,First tranche of bilateral tariffs enters into force,m5_p5,0.0410068677738905,11,-0.0003469774680201,25,True,0.0055776384617986,0.0075615961387468,0.0164393539029404,11,positive,0.0410068677738905
E05,escalation,tariff_announcement,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,m1_p1,0.0048325904362575,3,9.850551767453198e-05,25,True,0.0080675653031932,0.0099455612590364,0.0196476775747823,3,positive,0.0048325904362575
E05,escalation,tariff_announcement,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,m3_p3,0.0217939376163929,7,9.850551767453198e-05,25,True,0.006037671152158,0.0078620386332339,0.0149792177765421,7,positive,0.0217939376163929
E05,escalation,tariff_announcement,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,m5_p5,0.0312075798614832,11,9.850551767453198e-05,25,True,0.0056160144904463,0.0077405989895841,0.0126436133324052,11,positive,0.0312075798614832
E06,escalation,tariff_implementation,Second tranche of bilateral tariffs enters into force,m1_p1,0.0021719807175011,3,0.0006458150303083,25,True,0.004231747822352,0.0049607710211336,0.0057147047638877,3,positive,0.0021719807175011
